 SellingPrice ,SellingDate,SiteAreaSF,GrossBldgAreaSF,OfficeSF,YearBuilt,OverheadDoors,LandToBldgArea,PavedParkingSF
255000,40787,14015,5400,1196,2010,1,2.59537037,5450
415000,40723,50094,7500,1000,1999,2,6.6792,6400
425000,42308,28314,6080,1080,2004,1,4.656907895,1800
415000,40723,50094,7500,1000,1999,2,6.6792,6400
425000,39623,43995,6000,800,2005,1,7.3325,13600
450000,40246,31973,8400,2400,2004,6,3.806309524,8392
185000,39006,17028,5400,768,2000,2,3.153333333,2500
395000,41492,27442,6080,1080,2004,2,4.513486842,17088
450000,40246,31973,8400,2400,2004,6,3.806309524,8392
,42852,37500,5000,1400,2004,5,7.5,5800
